Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
group12,com.example.Trello.Group12.board,Board,Board,2,1,0
group12,com.example.Trello.Group12.board,Board,Board,3,1,1
group12,com.example.Trello.Group12.board,Board,Board,4,1,2
group12,com.example.Trello.Group12.board,Board,addTask,3,1,1
group12,com.example.Trello.Group12.board,Board,getID,3,1,0
group12,com.example.Trello.Group12.board,Board,getTitle,3,1,0
group12,com.example.Trello.Group12.board,Board,setID,3,1,1
group12,com.example.Trello.Group12.board,Board,setTitle,3,1,1
group12,com.example.Trello.Group12.board,BoardController,getBoard,3,1,1
group12,com.example.Trello.Group12.board,BoardController,addTaskToBoard,11,1,2
group12,com.example.Trello.Group12.board,BoardService,getBoard,6,2,1
group12,com.example.Trello.Group12.board,BoardService,addTask,14,2,4
group12,com.example.Trello.Group12,Group12Application,main,3,1,1
group12,com.example.Trello.Group12,Group12Tests,contextLoads,6,1,0
group12,com.example.Trello.Group12,Group12Tests,testFindByEmail,6,1,0
group12,com.example.Trello.Group12,Group12Tests,testCreateUser,5,1,0
group12,com.example.Trello.Group12,Group12Tests,testLogin,6,1,0
group12,com.example.Trello.Group12,Group12Tests,testForgotPassword,7,1,0
group12,com.example.Trello.Group12,Group12Tests,testGetWorkspaces,9,1,0
group12,com.example.Trello.Group12,Group12Tests,testCreateWorkspace,9,1,0
group12,com.example.Trello.Group12,Group12Tests,testGetWorkspaceByID,9,1,0
group12,com.example.Trello.Group12,Group12Tests,testAddMemberToWorkspace,12,1,0
group12,com.example.Trello.Group12,Group12Tests,testUpdateWorkspaceDetails,11,1,0
group12,com.example.Trello.Group12,Group12Tests,testCreateBoard,12,1,0
group12,com.example.Trello.Group12,Group12Tests,testGetBoards,12,1,0
group12,com.example.Trello.Group12,Group12Tests,testGetBoardByID,11,1,0
group12,com.example.Trello.Group12,Group12Tests,testDeleteBoard,11,1,0
group12,com.example.Trello.Group12,Group12Tests,testCreateTask,13,1,0
group12,com.example.Trello.Group12,Group12Tests,testAssignMembersToTask,15,1,0
group12,com.example.Trello.Group12,Group12Tests,testChangeTaskStatus,13,1,0
group12,com.example.Trello.Group12,Group12Tests,testSearchTasks,16,1,0
group12,com.example.Trello.Group12.security,WebSecurityConfig,configure,3,1,1
group12,com.example.Trello.Group12.task,Task,Task,2,1,0
group12,com.example.Trello.Group12.task,Task,Task,6,1,4
group12,com.example.Trello.Group12.task,Task,addAssignee,3,1,1
group12,com.example.Trello.Group12.task,Task,getUsers,3,1,0
group12,com.example.Trello.Group12.task,Task,getID,3,1,0
group12,com.example.Trello.Group12.task,Task,setID,3,1,1
group12,com.example.Trello.Group12.task,Task,getName,3,1,0
group12,com.example.Trello.Group12.task,Task,setName,3,1,1
group12,com.example.Trello.Group12.task,Task,setStatus,3,1,1
group12,com.example.Trello.Group12.task,Task,getStatus,3,1,0
