Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
java,com.example.Trello.Group12.board,Board,4,0,8,8,30,8,0,0,0.375,4,2
java,com.example.Trello.Group12.board,BoardController,1,0,2,2,19,2,0,0,0.0,0,1
java,com.example.Trello.Group12.board,BoardRepo,0,0,0,0,2,0,0,0,-1.0,2,0
java,com.example.Trello.Group12.board,BoardService,3,0,2,2,28,5,0,0,0.0,1,5
java,com.example.Trello.Group12,Group12Application,0,0,1,1,5,1,0,0,-1.0,1,1
java,com.example.Trello.Group12.security,WebSecurityConfig,0,0,1,1,5,1,0,0,-1.0,0,0
java,com.example.Trello.Group12.task,Task,7,0,9,9,42,9,0,0,0.3333333333333333,3,2
java,com.example.Trello.Group12.task,TaskController,1,0,2,2,10,2,0,0,0.0,0,1
java,com.example.Trello.Group12.task,TaskRepo,0,0,0,0,2,0,0,0,-1.0,2,0
java,com.example.Trello.Group12.task,TaskService,1,0,2,2,17,4,0,0,0.0,1,2
java,com.example.Trello.Group12.user,User,6,0,14,14,54,14,0,0,0.21428571428571427,4,0
java,com.example.Trello.Group12.user,UserController,1,0,4,4,20,4,0,0,0.0,0,2
java,com.example.Trello.Group12.user,UserRepo,0,0,1,0,3,1,0,0,-1.0,3,0
java,com.example.Trello.Group12.user,UserService,1,0,4,4,46,9,0,0,0.0,1,2
java,com.example.Trello.Group12.workspace,Workspace,5,0,15,15,56,15,0,0,0.2,2,2
java,com.example.Trello.Group12.workspace,WorkspaceController,1,0,7,7,31,7,0,0,0.0,0,1
java,com.example.Trello.Group12.workspace,WorkspaceRepo,0,0,1,0,3,1,0,0,-1.0,1,0
java,com.example.Trello.Group12.workspace,WorkspaceService,3,0,7,7,58,10,0,0,0.0,1,5
